variable,VIF,high_collinearity
NO,1860.750070768851,True
NO2,25404.867567143316,True
NOx,39703.87908731714,True
O3,15.477486281933125,True
PM25,63.825159201916556,True
PM10,78.29529176906688,True
SO2,26.870053733445083,True
