region,year,week,case_per_capita(‰),NO2_sum,O3_sum,PM25_sum,SO2_sum
中彰投,2016,1,1.56,120.87,131.39,198.22,19.85
中彰投,2016,2,6.38,106.74,175.08,162.66,18.4
中彰投,2016,3,6.0,126.92,148.15,179.76,19.07
中彰投,2016,4,6.26,109.8,165.63,136.08,18.25
中彰投,2016,5,6.46,107.68,157.54,106.38,16.35
中彰投,2016,6,9.33,94.58,270.51,257.3,21.27
中彰投,2016,7,2.6,103.13,146.33,157.54,18.19
中彰投,2016,8,7.26,122.84,190.15,241.52,18.51
中彰投,2016,9,6.58,129.33,218.7,231.29,21.8
中彰投,2016,10,7.0,122.79,177.2,235.0,22.72
中彰投,2016,11,6.08,145.85,143.67,165.17,18.44
中彰投,2016,12,6.37,129.02,159.74,227.65,18.23
中彰投,2016,13,5.85,119.73,309.01,258.33,22.95
中彰投,2016,14,6.92,97.01,213.58,309.7,22.09
中彰投,2016,15,5.88,101.06,194.18,199.58,21.04
中彰投,2016,16,6.35,96.18,205.93,177.66,19.3
中彰投,2016,17,6.02,80.35,183.09,159.93,20.71
中彰投,2016,18,6.26,88.9,234.73,219.75,20.75
中彰投,2016,19,6.0,78.17,192.75,135.96,21.31
中彰投,2016,20,5.64,82.66,267.84,161.54,20.9
中彰投,2016,21,5.78,94.19,197.36,177.45,22.09
中彰投,2016,22,5.69,48.77,151.36,83.12,16.2
中彰投,2016,23,5.25,56.71,184.72,89.34,18.04
中彰投,2016,24,4.87,50.55,137.3,58.91,14.21
中彰投,2016,25,5.33,53.8,155.07,83.48,18.86
中彰投,2016,26,5.0,55.18,158.32,93.45,18.72
中彰投,2016,27,5.13,58.6,184.7,105.08,19.22
中彰投,2016,28,4.71,42.06,143.56,57.19,14.65
中彰投,2016,29,5.43,48.75,131.37,93.31,16.91
中彰投,2016,30,5.47,55.06,182.4,132.41,20.06
中彰投,2016,31,5.44,62.6,227.08,130.82,19.3
中彰投,2016,32,5.17,61.95,207.97,122.04,19.6
中彰投,2016,33,4.89,61.91,173.6,90.16,17.86
中彰投,2016,34,5.24,58.66,233.14,164.67,20.14
中彰投,2016,35,5.38,73.84,321.39,224.08,21.29
中彰投,2016,36,5.65,61.39,164.19,78.87,15.07
中彰投,2016,37,5.14,66.16,148.36,88.53,17.42
中彰投,2016,38,4.75,75.18,224.73,128.85,18.23
中彰投,2016,39,5.46,73.27,184.35,131.97,18.36
