region,year,week,case_per_capita(‰),NO2_sum,O3_sum,PM25_sum,SO2_sum
中彰投,2016,4,1.83,464.33,620.25,676.72,75.57
中彰投,2016,5,2.65,451.14000000000004,646.4,584.88,72.07
中彰投,2016,6,3.65,438.98,741.8299999999999,679.52,74.94
中彰投,2016,7,3.14,415.19,740.01,657.3000000000001,74.06
中彰投,2016,8,5.65,428.23,764.53,762.74,74.32
中彰投,2016,9,5.53,449.88,825.69,887.6500000000001,79.77
中彰投,2016,10,5.57,478.09000000000003,732.38,865.3499999999999,81.22
中彰投,2016,11,4.62,520.8100000000001,729.7199999999999,872.9799999999999,81.47
中彰投,2016,12,4.28,526.99,699.31,859.1099999999999,81.19
中彰投,2016,13,3.79,517.39,789.6199999999999,886.15,82.34
中彰投,2016,14,3.73,491.61,826.0,960.8499999999999,81.71
中彰投,2016,15,2.84,446.82000000000005,876.51,995.2599999999999,84.31
中彰投,2016,16,2.29,413.98,922.7,945.27,85.38000000000001
中彰投,2016,17,1.9,374.6,796.7800000000001,846.8700000000001,83.14
中彰投,2016,18,1.73,366.49,817.9300000000001,756.9200000000001,81.80000000000001
中彰投,2016,19,1.37,343.6,816.5,693.3000000000001,82.07000000000001
中彰投,2016,20,1.2,330.08,878.41,677.1800000000001,83.66999999999999
中彰投,2016,21,1.07,343.91999999999996,892.6800000000001,694.7,85.05
中彰投,2016,22,1.0,303.79,809.31,558.07,80.5
中彰投,2016,23,0.99,282.33000000000004,801.28,511.44999999999993,77.22999999999999
中彰投,2016,24,0.75,250.22,670.74,408.82,70.54
中彰投,2016,25,0.83,209.83,628.45,314.85,67.31
中彰投,2016,26,0.83,216.23999999999998,635.41,325.18,69.83
中彰投,2016,27,0.71,218.13,635.39,340.91999999999996,71.00999999999999
中彰投,2016,28,0.75,209.64,641.65,339.2,71.44999999999999
中彰投,2016,29,0.71,204.59,617.95,349.03,69.5
中彰投,2016,30,0.72,204.47,642.03,387.98999999999995,70.84
中彰投,2016,31,0.8,208.47,684.4100000000001,413.73,70.92
中彰投,2016,32,0.68,228.36,748.82,478.58,75.87
中彰投,2016,33,0.8,241.52,791.05,475.42999999999995,76.82000000000001
中彰投,2016,34,0.86,245.11999999999998,841.7900000000001,507.69,76.9
中彰投,2016,35,0.8,256.36,936.1,600.9499999999999,78.89
中彰投,2016,36,0.85,255.8,892.32,557.78,74.36
中彰投,2016,37,0.85,260.04999999999995,867.08,556.15,73.92
中彰投,2016,38,0.87,276.57000000000005,858.67,520.33,72.01
中彰投,2016,39,1.16,276.0,721.6300000000001,428.22,69.08000000000001
中彰投,2016,40,0.97,300.78999999999996,757.21,540.36,75.32000000000001
中彰投,2016,41,0.97,308.53000000000003,772.22,549.29,73.89
中彰投,2016,42,1.09,331.12,809.5300000000001,720.56,81.12
中彰投,2016,43,1.21,352.2,803.47,776.96,87.07
中彰投,2016,44,1.03,351.84000000000003,839.98,743.99,83.92999999999999
中彰投,2016,45,1.25,386.2099999999999,899.8299999999999,834.52,89.61000000000001
中彰投,2016,46,1.28,417.30999999999995,858.2099999999999,815.72,87.98
中彰投,2016,47,1.21,439.0,834.51,796.8199999999999,84.46
中彰投,2016,48,1.38,462.81,763.0,774.25,83.53999999999999
中彰投,2016,49,1.39,468.99,723.5,776.4300000000001,82.83
中彰投,2016,50,1.32,455.52000000000004,692.02,679.86,78.32
中彰投,2016,51,1.41,469.78000000000003,721.27,751.68,79.35
中彰投,2016,52,1.45,475.94,736.19,812.4999999999999,80.4
中彰投,2017,1,1.36,477.24,724.0999999999999,903.25,78.97
中彰投,2017,2,1.45,480.15000000000003,711.1,916.9699999999999,79.13999999999999
中彰投,2017,3,1.38,450.2,704.54,822.22,74.59
中彰投,2017,4,1.53,438.47,738.14,808.6200000000001,74.71
中彰投,2017,5,1.32,404.58,771.98,674.47,71.66999999999999
中彰投,2017,6,1.37,383.58000000000004,818.89,708.8,71.03999999999999
中彰投,2017,7,1.53,406.36,872.55,789.1500000000001,75.27
中彰投,2017,8,1.36,415.81,846.33,810.3799999999999,74.03999999999999
中彰投,2017,9,1.3,449.6,881.98,881.55,77.88
中彰投,2017,10,1.24,476.78,883.8199999999999,893.56,78.7
中彰投,2017,11,1.22,466.97,879.44,893.63,76.33
中彰投,2017,12,1.38,461.25,944.39,894.24,78.41999999999999
中彰投,2017,13,1.47,456.59000000000003,989.6000000000001,921.3600000000001,78.72999999999999
中彰投,2017,14,1.18,430.62,1069.75,920.21,80.2
中彰投,2017,15,1.16,424.42,1026.74,862.5699999999999,80.03999999999999
中彰投,2017,16,1.36,389.17,969.97,816.3199999999999,78.72
中彰投,2017,17,1.2,384.88,959.74,759.9899999999999,79.35
中彰投,2017,18,1.25,387.55,895.23,720.5,79.68
中彰投,2017,19,1.35,363.86,927.32,715.37,82.78
中彰投,2017,20,1.35,380.29,980.84,676.84,83.41
中彰投,2017,21,1.45,357.21,926.58,617.4599999999999,81.86
中彰投,2017,22,1.69,320.3,883.34,514.87,77.65
中彰投,2017,23,2.0,301.76,832.26,452.12,74.17
中彰投,2017,24,2.4,267.13,704.63,386.31999999999994,69.89
中彰投,2017,25,3.47,236.03,590.24,324.58,64.59
中彰投,2017,26,4.0,226.24,550.8,318.19,65.28
中彰投,2017,27,3.46,217.29000000000002,539.13,278.32,62.470000000000006
中彰投,2017,28,3.32,219.56,585.51,309.46,66.62
中彰投,2017,29,3.2,230.56,687.87,361.73,71.44
中彰投,2017,30,2.6,237.95999999999998,741.41,419.28000000000003,76.05
中彰投,2017,31,2.14,230.10000000000002,749.81,437.62,75.88
中彰投,2017,32,1.95,216.01000000000002,710.1800000000001,443.01,72.28
中彰投,2017,33,1.44,210.01999999999998,646.5699999999999,421.67,72.44999999999999
中彰投,2017,34,1.24,217.19,627.9,403.52,69.98
中彰投,2017,35,1.04,238.96,668.4799999999999,481.49000000000007,74.62
中彰投,2017,36,1.08,255.42,720.6400000000001,509.59,78.37
中彰投,2017,37,0.94,271.77,789.7,552.24,79.71000000000001
中彰投,2017,38,1.03,294.65,908.85,655.46,87.34
中彰投,2017,39,1.03,297.9,906.69,649.2700000000001,88.57000000000001
中彰投,2017,40,0.99,322.14,967.01,723.8400000000001,90.60000000000001
中彰投,2017,41,0.99,332.72,962.0,755.8299999999999,92.15
中彰投,2017,42,0.96,310.21,849.6600000000001,604.26,78.99000000000001
中彰投,2017,43,1.06,321.76,976.39,626.58,73.02
中彰投,2017,44,0.86,323.9,992.92,569.3199999999999,68.14
中彰投,2017,45,0.94,338.99,991.12,575.73,63.339999999999996
中彰投,2017,46,0.94,374.96000000000004,956.0799999999999,651.3299999999999,68.16
中彰投,2017,47,1.01,387.45000000000005,799.59,588.46,68.68
中彰投,2017,48,1.0,398.18,736.6800000000001,615.62,69.98
中彰投,2017,49,1.11,398.28999999999996,711.24,590.53,68.32
中彰投,2017,50,1.26,405.42999999999995,711.53,587.26,66.56
