region,year,week,case_per_capita(‰),NO2_sum,O3_sum,PM25_sum,SO2_sum
中彰投,2016,1,0.52,120.87,131.39,198.22,19.85
中彰投,2016,2,1.64,106.74,175.08,162.66,18.4
中彰投,2016,3,1.7,126.92,148.15,179.76,19.07
中彰投,2016,4,1.83,109.8,165.63,136.08,18.25
中彰投,2016,5,2.65,107.68,157.54,106.38,16.35
中彰投,2016,6,3.65,94.58,270.51,257.3,21.27
中彰投,2016,7,3.14,103.13,146.33,157.54,18.19
中彰投,2016,8,5.65,122.84,190.15,241.52,18.51
中彰投,2016,9,5.53,129.33,218.7,231.29,21.8
中彰投,2016,10,5.57,122.79,177.2,235.0,22.72
中彰投,2016,11,4.62,145.85,143.67,165.17,18.44
中彰投,2016,12,4.28,129.02,159.74,227.65,18.23
中彰投,2016,13,3.79,119.73,309.01,258.33,22.95
中彰投,2016,14,3.73,97.01,213.58,309.7,22.09
中彰投,2016,15,2.84,101.06,194.18,199.58,21.04
中彰投,2016,16,2.29,96.18,205.93,177.66,19.3
中彰投,2016,17,1.9,80.35,183.09,159.93,20.71
中彰投,2016,18,1.73,88.9,234.73,219.75,20.75
中彰投,2016,19,1.37,78.17,192.75,135.96,21.31
中彰投,2016,20,1.2,82.66,267.84,161.54,20.9
中彰投,2016,21,1.07,94.19,197.36,177.45,22.09
中彰投,2016,22,1.0,48.77,151.36,83.12,16.2
中彰投,2016,23,0.99,56.71,184.72,89.34,18.04
中彰投,2016,24,0.75,50.55,137.3,58.91,14.21
中彰投,2016,25,0.83,53.8,155.07,83.48,18.86
中彰投,2016,26,0.83,55.18,158.32,93.45,18.72
中彰投,2016,27,0.71,58.6,184.7,105.08,19.22
中彰投,2016,28,0.75,42.06,143.56,57.19,14.65
中彰投,2016,29,0.71,48.75,131.37,93.31,16.91
中彰投,2016,30,0.72,55.06,182.4,132.41,20.06
中彰投,2016,31,0.8,62.6,227.08,130.82,19.3
中彰投,2016,32,0.68,61.95,207.97,122.04,19.6
中彰投,2016,33,0.8,61.91,173.6,90.16,17.86
中彰投,2016,34,0.86,58.66,233.14,164.67,20.14
中彰投,2016,35,0.8,73.84,321.39,224.08,21.29
中彰投,2016,36,0.85,61.39,164.19,78.87,15.07
中彰投,2016,37,0.85,66.16,148.36,88.53,17.42
中彰投,2016,38,0.87,75.18,224.73,128.85,18.23
中彰投,2016,39,1.16,73.27,184.35,131.97,18.36
中彰投,2016,40,0.97,86.18,199.77,191.01,21.31
中彰投,2016,41,0.97,73.9,163.37,97.46,15.99
中彰投,2016,42,1.09,97.77,262.04,300.12,25.46
中彰投,2016,43,1.21,94.35,178.29,188.37,24.31
中彰投,2016,44,1.03,85.82,236.28,158.04,18.17
中彰投,2016,45,1.25,108.27,223.22,187.99,21.67
中彰投,2016,46,1.28,128.87,220.42,281.32,23.83
中彰投,2016,47,1.21,116.04,154.59,169.47,20.79
中彰投,2016,48,1.38,109.63,164.77,135.47,17.25
中彰投,2016,49,1.39,114.45,183.72,190.17,20.96
中彰投,2016,50,1.32,115.4,188.94,184.75,19.32
中彰投,2016,51,1.41,130.3,183.84,241.29,21.82
中彰投,2016,52,1.45,115.79,179.69,196.29,18.3
中彰投,2017,1,1.36,115.75,171.63,280.92,19.53
中彰投,2017,2,1.45,118.31,175.94,198.47,19.49
中彰投,2017,3,1.38,100.35,177.28,146.54,17.27
中彰投,2017,4,1.53,104.06,213.29,182.69,18.42
中彰投,2017,5,1.32,81.86,205.47,146.77,16.49
中彰投,2017,6,1.37,97.31,222.85,232.8,18.86
中彰投,2017,7,1.53,123.13,230.94,226.89,21.5
中彰投,2017,8,1.36,113.51,187.07,203.92,17.19
中彰投,2017,9,1.3,115.65,241.12,217.94,20.33
中彰投,2017,10,1.24,124.49,224.69,244.81,19.68
中彰投,2017,11,1.22,113.32,226.56,226.96,19.13
中彰投,2017,12,1.38,107.79,252.02,204.53,19.28
中彰投,2017,13,1.47,110.99,286.33,245.06,20.64
中彰投,2017,14,1.18,98.52,304.84,243.66,21.15
中彰投,2017,15,1.16,107.12,183.55,169.32,18.97
中彰投,2017,16,1.36,72.54,195.25,158.28,17.96
中彰投,2017,17,1.2,106.7,276.1,188.73,21.27
中彰投,2017,18,1.25,101.19,240.33,204.17,21.48
中彰投,2017,19,1.35,83.43,215.64,164.19,22.07
中彰投,2017,20,1.35,88.97,248.77,119.75,18.59
中彰投,2017,21,1.45,83.62,221.84,129.35,19.72
中彰投,2017,22,1.69,64.28,197.09,101.58,17.27
中彰投,2017,23,2.0,64.89,164.56,101.44,18.59
中彰投,2017,24,2.4,54.34,121.14,53.95,14.31
中彰投,2017,25,3.47,52.52,107.45,67.61,14.42
中彰投,2017,26,4.0,54.49,157.65,95.19,17.96
中彰投,2017,27,3.46,55.94,152.89,61.57,15.78
中彰投,2017,28,3.32,56.61,167.52,85.09,18.46
中彰投,2017,29,3.2,63.52,209.81,119.88,19.24
中彰投,2017,30,2.6,61.89,211.19,152.74,22.57
中彰投,2017,31,2.14,48.08,161.29,79.91,15.61
中彰投,2017,32,1.95,42.52,127.89,90.48,14.86
中彰投,2017,33,1.44,57.53,146.2,98.54,19.41
中彰投,2017,34,1.24,69.06,192.52,134.59,20.1
中彰投,2017,35,1.04,69.85,201.87,157.88,20.25
中彰投,2017,36,1.08,58.98,180.05,118.58,18.61
中彰投,2017,37,0.94,73.88,215.26,141.19,20.75
中彰投,2017,38,1.03,91.94,311.67,237.81,27.73
中彰投,2017,39,1.03,73.1,199.71,151.69,21.48
中彰投,2017,40,0.99,83.22,240.37,193.15,20.64
中彰投,2017,41,0.99,84.46,210.25,173.18,22.3
中彰投,2017,42,0.96,69.43,199.33,86.24,14.57
中彰投,2017,43,1.06,84.65,326.44,174.01,15.51
中彰投,2017,44,0.86,85.36,256.9,135.89,15.76
中彰投,2017,45,0.94,99.55,208.45,179.59,17.5
中彰投,2017,46,0.94,105.4,164.29,161.84,19.39
中彰投,2017,47,1.01,97.14,169.95,111.14,16.03
中彰投,2017,48,1.0,96.09,193.99,163.05,17.06
中彰投,2017,49,1.11,99.66,183.01,154.5,15.84
中彰投,2017,50,1.26,112.54,164.58,158.57,17.63
中彰投,2017,51,1.44,100.79,203.08,168.9,17.75
中彰投,2017,52,1.71,119.82,203.99,279.41,21.4
中彰投,2018,1,1.59,121.45,140.82,193.23,18.19
中彰投,2018,2,1.77,95.69,183.53,116.99,15.93
中彰投,2018,3,2.43,128.24,164.19,217.36,18.97
中彰投,2018,4,2.85,105.5,181.75,132.66,16.37
中彰投,2018,5,2.63,93.83,172.09,121.31,15.03
中彰投,2018,6,2.59,116.3,164.19,165.25,16.18
中彰投,2018,7,2.52,102.8,229.91,226.26,18.67
中彰投,2018,8,3.05,110.3,180.51,199.65,17.25
中彰投,2018,9,2.83,117.89,181.29,260.07,19.16
中彰投,2018,10,2.32,89.13,211.34,137.67,15.87
中彰投,2018,11,2.0,121.66,237.56,232.15,20.62
中彰投,2018,12,1.84,97.96,274.89,182.86,16.33
中彰投,2018,13,1.65,94.04,277.49,252.21,18.36
中彰投,2018,14,1.13,79.01,240.68,204.63,17.98
中彰投,2018,15,1.21,78.01,218.01,144.4,18.69
中彰投,2018,16,1.05,100.31,284.44,224.08,22.43
中彰投,2018,17,0.97,98.59,265.92,217.84,20.9
中彰投,2018,18,0.79,78.22,237.69,175.25,20.31
中彰投,2018,19,0.82,83.54,221.53,134.15,18.93
中彰投,2018,20,0.75,60.17,142.14,104.69,18.46
中彰投,2018,21,0.67,73.0,201.99,142.51,22.36
中彰投,2018,22,0.74,67.02,244.69,124.74,19.64
中彰投,2018,23,0.73,69.56,228.67,125.43,22.17
中彰投,2018,24,0.71,74.57,291.46,126.08,20.62
中彰投,2018,25,0.6,50.43,117.01,54.91,15.01
中彰投,2018,26,0.82,56.73,145.64,87.0,18.76
中彰投,2018,27,0.8,51.85,120.26,59.37,15.15
中彰投,2018,28,0.94,57.91,182.4,124.49,21.54
中彰投,2018,29,0.93,59.9,237.46,167.73,20.33
中彰投,2018,30,1.03,55.18,160.69,101.88,18.3
中彰投,2018,31,0.95,48.9,168.5,90.04,16.33
中彰投,2018,32,0.96,55.79,238.73,158.42,20.62
中彰投,2018,33,0.91,54.3,178.65,72.14,15.47
中彰投,2018,34,0.8,55.77,208.64,63.84,15.8
中彰投,2018,35,0.93,54.51,119.59,71.19,15.11
中彰投,2018,36,0.88,56.78,195.33,105.13,16.05
中彰投,2018,37,0.93,79.31,200.99,145.03,20.94
中彰投,2018,38,0.88,70.25,199.98,169.24,18.97
中彰投,2018,39,0.88,57.22,294.36,106.47,15.89
中彰投,2018,40,0.87,81.55,359.47,168.17,17.77
中彰投,2018,41,0.67,87.86,236.93,130.86,17.44
中彰投,2018,42,0.78,91.57,246.66,128.07,17.9
中彰投,2018,43,0.93,91.57,277.15,176.09,19.74
中彰投,2018,44,0.8,99.99,223.9,118.6,16.62
中彰投,2018,45,0.86,109.78,214.82,257.32,21.4
中彰投,2018,46,0.87,111.66,203.48,171.27,20.22
中彰投,2018,47,1.01,104.01,197.47,141.17,17.44
中彰投,2018,48,0.95,112.08,185.44,172.78,19.39
中彰投,2018,49,1.18,103.49,167.58,118.18,16.22
中彰投,2018,50,1.1,102.49,155.82,111.41,16.14
中彰投,2018,51,1.32,124.03,218.93,209.37,20.04
中彰投,2018,52,1.26,85.01,186.17,75.97,14.44
中彰投,2019,1,1.3,112.52,137.02,135.07,16.12
中彰投,2019,2,1.7,115.86,149.47,147.06,16.1
中彰投,2019,3,1.82,105.25,192.92,180.43,15.84
中彰投,2019,4,1.79,113.76,225.4,180.34,17.46
中彰投,2019,5,2.42,121.85,206.77,208.78,16.75
中彰投,2019,6,1.51,76.29,195.66,155.84,14.94
中彰投,2019,7,2.22,102.19,182.54,145.6,16.28
中彰投,2019,8,1.92,109.15,177.18,171.96,15.59
中彰投,2019,9,1.4,106.24,218.99,221.38,16.7
中彰投,2019,10,1.53,115.54,190.63,119.57,14.96
中彰投,2019,11,1.5,114.85,257.68,232.61,18.38
中彰投,2019,12,1.5,102.61,179.11,181.56,16.85
中彰投,2019,13,1.36,86.01,245.46,160.85,15.61
中彰投,2019,14,1.1,85.4,254.75,217.67,15.93
中彰投,2019,15,1.04,80.06,216.04,144.9,15.95
中彰投,2019,16,0.99,92.26,217.21,134.66,15.87
中彰投,2019,17,1.07,66.14,209.54,140.9,16.68
中彰投,2019,18,1.15,83.69,213.16,113.47,13.85
中彰投,2019,19,1.09,94.0,209.2,139.12,17.27
中彰投,2019,20,1.27,55.98,124.6,88.32,14.17
中彰投,2019,21,1.3,89.55,239.36,173.28,18.19
中彰投,2019,22,1.21,64.38,166.68,80.37,16.7
中彰投,2019,23,1.4,52.46,115.65,62.69,14.75
中彰投,2019,24,1.27,72.1,212.54,79.05,15.03
中彰投,2019,25,1.42,51.51,123.19,59.6,14.59
中彰投,2019,26,1.27,50.28,158.13,57.05,14.21
中彰投,2019,27,1.25,41.16,130.25,51.03,14.15
中彰投,2019,28,1.19,39.69,133.63,75.89,14.0
中彰投,2019,29,1.29,52.06,177.7,99.91,14.5
中彰投,2019,30,1.14,48.08,151.61,64.63,15.22
中彰投,2019,31,1.15,55.77,205.39,112.02,17.86
中彰投,2019,32,1.14,43.09,185.73,94.6,15.26
中彰投,2019,33,1.16,44.18,195.66,53.32,13.37
中彰投,2019,34,1.28,59.29,179.69,108.65,16.54
中彰投,2019,35,1.28,58.6,203.75,133.23,18.78
中彰投,2019,36,1.4,59.5,195.6,108.67,17.25
中彰投,2019,37,1.32,62.54,254.37,164.6,17.44
中彰投,2019,38,1.28,59.52,352.14,108.88,15.28
中彰投,2019,39,1.06,80.02,214.95,120.43,16.26
中彰投,2019,40,1.19,69.87,262.88,245.13,18.25
中彰投,2019,41,1.18,82.28,282.05,188.1,17.98
中彰投,2019,42,1.16,71.34,299.64,109.9,15.34
中彰投,2019,43,1.11,95.38,263.42,149.18,17.63
中彰投,2019,44,1.09,85.19,257.91,157.75,15.43
中彰投,2019,45,1.02,83.96,279.22,126.48,15.47
中彰投,2019,46,1.22,109.07,274.43,220.88,17.04
中彰投,2019,47,1.12,83.27,191.01,102.57,15.34
中彰投,2019,48,1.09,85.55,215.68,111.04,15.45
中彰投,2019,49,1.13,81.82,207.72,80.96,13.5
中彰投,2019,50,1.67,121.14,186.97,172.9,16.49
中彰投,2019,51,1.9,103.83,134.43,116.13,15.55
中彰投,2019,52,1.95,106.43,155.15,110.62,15.49
北北基桃竹苗,2016,1,0.26,134.85,140.31,174.13,21.16
北北基桃竹苗,2016,2,1.13,111.24,201.74,142.5,18.4
北北基桃竹苗,2016,3,1.21,121.71,184.2,153.72,16.9
北北基桃竹苗,2016,4,1.44,114.24,177.5,111.75,19.47
北北基桃竹苗,2016,5,1.88,108.86,189.69,65.92,14.66
北北基桃竹苗,2016,6,2.73,111.42,263.59,217.99,20.79
北北基桃竹苗,2016,7,2.35,109.14,171.78,119.06,15.36
北北基桃竹苗,2016,8,3.56,103.21,235.55,150.25,14.31
北北基桃竹苗,2016,9,3.46,124.4,243.62,145.35,16.83
北北基桃竹苗,2016,10,3.4,145.01,164.37,180.5,21.81
北北基桃竹苗,2016,11,3.02,150.04,185.53,130.77,16.3
北北基桃竹苗,2016,12,2.6,138.74,216.82,167.99,16.89
北北基桃竹苗,2016,13,2.23,153.45,285.31,232.69,22.72
北北基桃竹苗,2016,14,2.23,139.94,191.38,277.47,24.81
北北基桃竹苗,2016,15,1.68,129.05,180.85,164.4,20.39
北北基桃竹苗,2016,16,1.43,127.27,223.39,151.43,19.98
北北基桃竹苗,2016,17,1.25,106.35,199.38,182.49,22.39
北北基桃竹苗,2016,18,1.12,119.57,278.09,238.72,23.59
北北基桃竹苗,2016,19,0.84,103.8,202.25,140.9,23.23
北北基桃竹苗,2016,20,0.71,92.09,252.25,119.7,17.77
北北基桃竹苗,2016,21,0.69,120.27,170.63,149.23,25.59
北北基桃竹苗,2016,22,0.52,84.1,158.7,97.96,20.43
北北基桃竹苗,2016,23,0.52,90.85,182.0,99.88,19.95
北北基桃竹苗,2016,24,0.44,76.64,135.5,60.04,15.68
北北基桃竹苗,2016,25,0.44,87.4,159.52,84.81,22.41
北北基桃竹苗,2016,26,0.39,89.71,169.85,91.6,23.05
北北基桃竹苗,2016,27,0.41,72.96,147.6,75.44,18.58
北北基桃竹苗,2016,28,0.38,75.8,153.96,67.7,17.28
北北基桃竹苗,2016,29,0.43,83.36,145.46,96.41,18.43
北北基桃竹苗,2016,30,0.39,92.45,209.75,134.9,26.01
