region,year,week,case_per_capita(‰),NO2_sum,O3_sum,PM25_sum,SO2_sum
中彰投,2016,2,9.41,227.61,306.47,360.88,38.25
中彰投,2016,3,9.69,233.66,323.23,342.41999999999996,37.47
中彰投,2016,4,9.94,236.72,313.78,315.84000000000003,37.32
中彰投,2016,5,11.21,217.48000000000002,323.16999999999996,242.46,34.6
中彰投,2016,6,14.44,202.26,428.04999999999995,363.68,37.620000000000005
中彰投,2016,7,7.9,197.70999999999998,416.84000000000003,414.84000000000003,39.46
中彰投,2016,8,15.06,225.97,336.48,399.06,36.7
中彰投,2016,9,13.77,252.17000000000002,408.85,472.81,40.31
中彰投,2016,10,13.05,252.12,395.9,466.28999999999996,44.519999999999996
中彰投,2016,11,11.06,268.64,320.87,400.16999999999996,41.16
中彰投,2016,12,10.72,274.87,303.40999999999997,392.82,36.67
中彰投,2016,13,10.37,248.75,468.75,485.98,41.18
中彰投,2016,14,12.05,216.74,522.59,568.03,45.04
中彰投,2016,15,9.5,198.07,407.76,509.28,43.129999999999995
中彰投,2016,16,9.14,197.24,400.11,377.24,40.34
中彰投,2016,17,8.8,176.53,389.02,337.59000000000003,40.010000000000005
中彰投,2016,18,8.45,169.25,417.82,379.68,41.46
中彰投,2016,19,8.02,167.07,427.48,355.71000000000004,42.06
中彰投,2016,20,7.72,160.82999999999998,460.59,297.5,42.209999999999994
中彰投,2016,21,7.69,176.85,465.2,338.99,42.989999999999995
中彰投,2016,22,7.14,142.96,348.72,260.57,38.29
中彰投,2016,23,6.47,105.48,336.08000000000004,172.46,34.239999999999995
中彰投,2016,24,6.01,107.25999999999999,322.02,148.25,32.25
中彰投,2016,25,6.3,104.35,292.37,142.39,33.07
中彰投,2016,26,5.84,108.97999999999999,313.39,176.93,37.58
中彰投,2016,27,5.7,113.78,343.02,198.53,37.94
中彰投,2016,28,5.42,100.66,328.26,162.26999999999998,33.87
中彰投,2016,29,5.92,90.81,274.93,150.5,31.560000000000002
中彰投,2016,30,5.57,103.81,313.77,225.72,36.97
中彰投,2016,31,5.82,117.66,409.48,263.23,39.36
中彰投,2016,32,5.9,124.55000000000001,435.05,252.86,38.900000000000006
中彰投,2016,33,6.04,123.86,381.57,212.2,37.46
中彰投,2016,34,6.49,120.57,406.74,254.82999999999998,38.0
中彰投,2016,35,6.66,132.5,554.53,388.75,41.43
中彰投,2016,36,6.89,135.23000000000002,485.58,302.95000000000005,36.36
中彰投,2016,37,6.44,127.55,312.55,167.4,32.49
中彰投,2016,38,6.11,141.34,373.09000000000003,217.38,35.650000000000006
中彰投,2016,39,7.47,148.45,409.08,260.82,36.59
中彰投,2016,40,6.23,159.45,384.12,322.98,39.67
中彰投,2016,41,6.31,160.08,363.14,288.46999999999997,37.3
中彰投,2016,42,7.02,171.67000000000002,425.41,397.58,41.45
中彰投,2016,43,7.09,192.12,440.33000000000004,488.49,49.769999999999996
中彰投,2016,44,7.39,180.17,414.57,346.40999999999997,42.480000000000004
中彰投,2016,45,8.29,194.08999999999997,459.5,346.03,39.84
中彰投,2016,46,8.25,237.14,443.64,469.31,45.5
中彰投,2016,47,7.97,244.91000000000003,375.01,450.78999999999996,44.62
中彰投,2016,48,7.62,225.67000000000002,319.36,304.94,38.04
中彰投,2016,49,8.13,224.07999999999998,348.49,325.64,38.21
中彰投,2016,50,8.48,229.85000000000002,372.65999999999997,374.91999999999996,40.28
中彰投,2016,51,9.0,245.70000000000002,372.78,426.03999999999996,41.14
中彰投,2016,52,9.16,246.09000000000003,363.53,437.58,40.120000000000005
中彰投,2017,1,9.29,231.54000000000002,351.32,477.21000000000004,37.83
中彰投,2017,2,9.44,234.06,347.57,479.39,39.019999999999996
中彰投,2017,3,9.4,218.66,353.22,345.01,36.76
中彰投,2017,4,10.72,204.41,390.57,329.23,35.69
中彰投,2017,5,8.22,185.92000000000002,418.76,329.46000000000004,34.91
中彰投,2017,6,10.56,179.17000000000002,428.32,379.57000000000005,35.349999999999994
中彰投,2017,7,10.71,220.44,453.78999999999996,459.69,40.36
中彰投,2017,8,8.59,236.64,418.01,430.80999999999995,38.69
中彰投,2017,9,9.16,229.16000000000003,428.19,421.86,37.519999999999996
中彰投,2017,10,9.4,240.14,465.81,462.75,40.01
中彰投,2017,11,9.24,237.81,451.25,471.77,38.81
中彰投,2017,12,9.09,221.11,478.58000000000004,431.49,38.41
中彰投,2017,13,9.44,218.78,538.35,449.59000000000003,39.92
中彰投,2017,14,10.38,209.51,591.17,488.72,41.79
中彰投,2017,15,8.8,205.64,488.39,412.98,40.12
中彰投,2017,16,7.79,179.66000000000003,378.8,327.6,36.93
中彰投,2017,17,8.26,179.24,471.35,347.01,39.230000000000004
中彰投,2017,18,8.03,207.89,516.4300000000001,392.9,42.75
中彰投,2017,19,7.43,184.62,455.97,368.36,43.55
中彰投,2017,20,7.49,172.4,464.40999999999997,283.94,40.66
中彰投,2017,21,7.36,172.59,470.61,249.1,38.31
中彰投,2017,22,6.51,147.9,418.93,230.93,36.989999999999995
中彰投,2017,23,6.68,129.17000000000002,361.65,203.01999999999998,35.86
中彰投,2017,24,6.68,119.23,285.7,155.39,32.9
中彰投,2017,25,6.92,106.86000000000001,228.59,121.56,28.73
中彰投,2017,26,6.73,107.01,265.1,162.8,32.38
中彰投,2017,27,7.23,110.43,310.53999999999996,156.76,33.74
中彰投,2017,28,7.15,112.55,320.40999999999997,146.66,34.24
中彰投,2017,29,6.95,120.13,377.33000000000004,204.97,37.7
