region,year,week,case_per_capita(‰),NO2_sum,O3_sum,PM25_sum,SO2_sum
中彰投,2016,1,2.96,120.87,131.39,198.22,19.85
中彰投,2016,2,9.41,106.74,175.08,162.66,18.4
中彰投,2016,3,9.69,126.92,148.15,179.76,19.07
中彰投,2016,4,9.94,109.8,165.63,136.08,18.25
中彰投,2016,5,11.21,107.68,157.54,106.38,16.35
中彰投,2016,6,14.44,94.58,270.51,257.3,21.27
中彰投,2016,7,7.9,103.13,146.33,157.54,18.19
中彰投,2016,8,15.06,122.84,190.15,241.52,18.51
中彰投,2016,9,13.77,129.33,218.7,231.29,21.8
中彰投,2016,10,13.05,122.79,177.2,235.0,22.72
中彰投,2016,11,11.06,145.85,143.67,165.17,18.44
中彰投,2016,12,10.72,129.02,159.74,227.65,18.23
中彰投,2016,13,10.37,119.73,309.01,258.33,22.95
中彰投,2016,14,12.05,97.01,213.58,309.7,22.09
中彰投,2016,15,9.5,101.06,194.18,199.58,21.04
中彰投,2016,16,9.14,96.18,205.93,177.66,19.3
中彰投,2016,17,8.8,80.35,183.09,159.93,20.71
中彰投,2016,18,8.45,88.9,234.73,219.75,20.75
中彰投,2016,19,8.02,78.17,192.75,135.96,21.31
中彰投,2016,20,7.72,82.66,267.84,161.54,20.9
中彰投,2016,21,7.69,94.19,197.36,177.45,22.09
中彰投,2016,22,7.14,48.77,151.36,83.12,16.2
中彰投,2016,23,6.47,56.71,184.72,89.34,18.04
中彰投,2016,24,6.01,50.55,137.3,58.91,14.21
中彰投,2016,25,6.3,53.8,155.07,83.48,18.86
中彰投,2016,26,5.84,55.18,158.32,93.45,18.72
中彰投,2016,27,5.7,58.6,184.7,105.08,19.22
中彰投,2016,28,5.42,42.06,143.56,57.19,14.65
中彰投,2016,29,5.92,48.75,131.37,93.31,16.91
中彰投,2016,30,5.57,55.06,182.4,132.41,20.06
中彰投,2016,31,5.82,62.6,227.08,130.82,19.3
中彰投,2016,32,5.9,61.95,207.97,122.04,19.6
中彰投,2016,33,6.04,61.91,173.6,90.16,17.86
中彰投,2016,34,6.49,58.66,233.14,164.67,20.14
中彰投,2016,35,6.66,73.84,321.39,224.08,21.29
中彰投,2016,36,6.89,61.39,164.19,78.87,15.07
中彰投,2016,37,6.44,66.16,148.36,88.53,17.42
中彰投,2016,38,6.11,75.18,224.73,128.85,18.23
中彰投,2016,39,7.47,73.27,184.35,131.97,18.36
中彰投,2016,40,6.23,86.18,199.77,191.01,21.31
中彰投,2016,41,6.31,73.9,163.37,97.46,15.99
中彰投,2016,42,7.02,97.77,262.04,300.12,25.46
中彰投,2016,43,7.09,94.35,178.29,188.37,24.31
中彰投,2016,44,7.39,85.82,236.28,158.04,18.17
中彰投,2016,45,8.29,108.27,223.22,187.99,21.67
中彰投,2016,46,8.25,128.87,220.42,281.32,23.83
中彰投,2016,47,7.97,116.04,154.59,169.47,20.79
中彰投,2016,48,7.62,109.63,164.77,135.47,17.25
中彰投,2016,49,8.13,114.45,183.72,190.17,20.96
中彰投,2016,50,8.48,115.4,188.94,184.75,19.32
中彰投,2016,51,9.0,130.3,183.84,241.29,21.82
中彰投,2016,52,9.16,115.79,179.69,196.29,18.3
中彰投,2017,1,9.29,115.75,171.63,280.92,19.53
中彰投,2017,2,9.44,118.31,175.94,198.47,19.49
中彰投,2017,3,9.4,100.35,177.28,146.54,17.27
中彰投,2017,4,10.72,104.06,213.29,182.69,18.42
中彰投,2017,5,8.22,81.86,205.47,146.77,16.49
中彰投,2017,6,10.56,97.31,222.85,232.8,18.86
中彰投,2017,7,10.71,123.13,230.94,226.89,21.5
中彰投,2017,8,8.59,113.51,187.07,203.92,17.19
中彰投,2017,9,9.16,115.65,241.12,217.94,20.33
中彰投,2017,10,9.4,124.49,224.69,244.81,19.68
中彰投,2017,11,9.24,113.32,226.56,226.96,19.13
中彰投,2017,12,9.09,107.79,252.02,204.53,19.28
中彰投,2017,13,9.44,110.99,286.33,245.06,20.64
中彰投,2017,14,10.38,98.52,304.84,243.66,21.15
中彰投,2017,15,8.8,107.12,183.55,169.32,18.97
中彰投,2017,16,7.79,72.54,195.25,158.28,17.96
中彰投,2017,17,8.26,106.7,276.1,188.73,21.27
中彰投,2017,18,8.03,101.19,240.33,204.17,21.48
中彰投,2017,19,7.43,83.43,215.64,164.19,22.07
中彰投,2017,20,7.49,88.97,248.77,119.75,18.59
中彰投,2017,21,7.36,83.62,221.84,129.35,19.72
中彰投,2017,22,6.51,64.28,197.09,101.58,17.27
中彰投,2017,23,6.68,64.89,164.56,101.44,18.59
中彰投,2017,24,6.68,54.34,121.14,53.95,14.31
中彰投,2017,25,6.92,52.52,107.45,67.61,14.42
中彰投,2017,26,6.73,54.49,157.65,95.19,17.96
中彰投,2017,27,7.23,55.94,152.89,61.57,15.78
中彰投,2017,28,7.15,56.61,167.52,85.09,18.46
中彰投,2017,29,6.95,63.52,209.81,119.88,19.24
中彰投,2017,30,6.61,61.89,211.19,152.74,22.57
中彰投,2017,31,6.03,48.08,161.29,79.91,15.61
中彰投,2017,32,5.68,42.52,127.89,90.48,14.86
中彰投,2017,33,5.84,57.53,146.2,98.54,19.41
中彰投,2017,34,5.84,69.06,192.52,134.59,20.1
中彰投,2017,35,6.22,69.85,201.87,157.88,20.25
中彰投,2017,36,6.16,58.98,180.05,118.58,18.61
中彰投,2017,37,6.47,73.88,215.26,141.19,20.75
中彰投,2017,38,6.74,91.94,311.67,237.81,27.73
中彰投,2017,39,6.26,73.1,199.71,151.69,21.48
中彰投,2017,40,6.53,83.22,240.37,193.15,20.64
中彰投,2017,41,6.8,84.46,210.25,173.18,22.3
中彰投,2017,42,6.82,69.43,199.33,86.24,14.57
中彰投,2017,43,8.14,84.65,326.44,174.01,15.51
中彰投,2017,44,8.09,85.36,256.9,135.89,15.76
中彰投,2017,45,8.09,99.55,208.45,179.59,17.5
中彰投,2017,46,8.08,105.4,164.29,161.84,19.39
中彰投,2017,47,8.2,97.14,169.95,111.14,16.03
中彰投,2017,48,8.11,96.09,193.99,163.05,17.06
中彰投,2017,49,8.86,99.66,183.01,154.5,15.84
中彰投,2017,50,9.59,112.54,164.58,158.57,17.63
中彰投,2017,51,10.43,100.79,203.08,168.9,17.75
中彰投,2017,52,11.73,119.82,203.99,279.41,21.4
中彰投,2018,1,8.71,121.45,140.82,193.23,18.19
中彰投,2018,2,9.43,95.69,183.53,116.99,15.93
中彰投,2018,3,10.08,128.24,164.19,217.36,18.97
中彰投,2018,4,10.02,105.5,181.75,132.66,16.37
中彰投,2018,5,9.32,93.83,172.09,121.31,15.03
中彰投,2018,6,10.02,116.3,164.19,165.25,16.18
中彰投,2018,7,9.26,102.8,229.91,226.26,18.67
中彰投,2018,8,9.87,110.3,180.51,199.65,17.25
中彰投,2018,9,10.21,117.89,181.29,260.07,19.16
中彰投,2018,10,9.18,89.13,211.34,137.67,15.87
中彰投,2018,11,9.93,121.66,237.56,232.15,20.62
中彰投,2018,12,10.03,97.96,274.89,182.86,16.33
中彰投,2018,13,9.95,94.04,277.49,252.21,18.36
中彰投,2018,14,8.13,79.01,240.68,204.63,17.98
中彰投,2018,15,9.51,78.01,218.01,144.4,18.69
中彰投,2018,16,7.99,100.31,284.44,224.08,22.43
中彰投,2018,17,7.38,98.59,265.92,217.84,20.9
中彰投,2018,18,7.25,78.22,237.69,175.25,20.31
中彰投,2018,19,6.98,83.54,221.53,134.15,18.93
中彰投,2018,20,6.15,60.17,142.14,104.69,18.46
中彰投,2018,21,6.06,73.0,201.99,142.51,22.36
中彰投,2018,22,5.73,67.02,244.69,124.74,19.64
中彰投,2018,23,5.35,69.56,228.67,125.43,22.17
中彰投,2018,24,5.75,74.57,291.46,126.08,20.62
中彰投,2018,25,5.09,50.43,117.01,54.91,15.01
中彰投,2018,26,5.42,56.73,145.64,87.0,18.76
中彰投,2018,27,5.21,51.85,120.26,59.37,15.15
中彰投,2018,28,5.67,57.91,182.4,124.49,21.54
中彰投,2018,29,5.94,59.9,237.46,167.73,20.33
中彰投,2018,30,5.9,55.18,160.69,101.88,18.3
中彰投,2018,31,5.71,48.9,168.5,90.04,16.33
中彰投,2018,32,5.86,55.79,238.73,158.42,20.62
中彰投,2018,33,6.02,54.3,178.65,72.14,15.47
中彰投,2018,34,5.97,55.77,208.64,63.84,15.8
中彰投,2018,35,6.34,54.51,119.59,71.19,15.11
中彰投,2018,36,6.34,56.78,195.33,105.13,16.05
