region,year,week,case_per_capita(‰),NO2_sum,O3_sum,PM25_sum,SO2_sum
中彰投,2016,3,47.97,354.53,454.62,540.64,57.32
中彰投,2016,4,49.15,343.46,488.86,478.5,55.72
中彰投,2016,5,57.13,344.40000000000003,471.31999999999994,422.22,53.67
中彰投,2016,6,72.47,312.06,593.68,499.76,55.870000000000005
中彰投,2016,7,38.59,305.39,574.38,521.22,55.81
中彰投,2016,8,76.48,320.55,606.99,656.36,57.97
中彰投,2016,9,71.16,355.3,555.1800000000001,630.35,58.5
中彰投,2016,10,69.69,374.96000000000004,586.05,707.81,63.03
中彰投,2016,11,59.74,397.97,539.5699999999999,631.4599999999999,62.959999999999994
中彰投,2016,12,57.44,397.66,480.60999999999996,627.8199999999999,59.39
中彰投,2016,13,55.18,394.6,612.42,651.15,59.620000000000005
中彰投,2016,14,61.74,345.76,682.33,795.68,63.269999999999996
中彰投,2016,15,48.75,317.8,716.77,767.6099999999999,66.08
中彰投,2016,16,47.09,294.25,613.69,686.94,62.43000000000001
中彰投,2016,17,44.64,277.59000000000003,583.2,537.1700000000001,61.050000000000004
中彰投,2016,18,43.91,265.43,623.75,557.34,60.760000000000005
中彰投,2016,19,41.86,247.42,610.57,515.6400000000001,62.77
中彰投,2016,20,40.27,249.73,695.3199999999999,517.25,62.959999999999994
中彰投,2016,21,40.53,255.01999999999998,657.95,474.95000000000005,64.3
中彰投,2016,22,36.36,225.62,616.56,422.11,59.19
中彰投,2016,23,33.49,199.67000000000002,533.44,349.90999999999997,56.33
中彰投,2016,24,31.75,156.03,473.38,231.37,48.45
中彰投,2016,25,33.46,161.06,477.09000000000003,231.73,51.11
中彰投,2016,26,31.45,159.52999999999997,450.69,235.84,51.79
中彰投,2016,27,31.16,167.57999999999998,498.09,282.01,56.8
中彰投,2016,28,29.87,155.84,486.58,255.71999999999997,52.589999999999996
中彰投,2016,29,31.33,149.41,459.63,255.57999999999998,50.78
中彰投,2016,30,30.06,145.87,457.33,282.90999999999997,51.62
中彰投,2016,31,30.91,166.41,540.85,356.54,56.269999999999996
中彰投,2016,32,31.79,179.61,617.45,385.27,58.96000000000001
中彰投,2016,33,32.59,186.46,608.65,343.02,56.760000000000005
中彰投,2016,34,34.21,182.51999999999998,614.71,376.87,57.6
中彰投,2016,35,34.82,194.41,728.13,478.90999999999997,59.29
中彰投,2016,36,36.42,193.89000000000001,718.72,467.62,56.5
中彰投,2016,37,34.44,201.39,633.94,391.48,53.78
中彰投,2016,38,32.94,202.73000000000002,537.28,296.25,50.720000000000006
中彰投,2016,39,39.43,214.60999999999999,557.44,349.35,54.010000000000005
中彰投,2016,40,33.09,234.63,608.85,451.83000000000004,57.900000000000006
中彰投,2016,41,35.76,233.35000000000002,547.49,420.43999999999994,55.66
中彰投,2016,42,38.87,257.85,625.1800000000001,588.5899999999999,62.760000000000005
中彰投,2016,43,38.37,266.02,603.7,585.95,65.75999999999999
中彰投,2016,44,39.24,277.94,676.61,646.53,67.94
