region,year,week,case_per_capita(‰),O3_sum,PM10_sum,PM25_sum,SO2_sum
中彰投,2016,4,1.83,620.25,1247.88,676.72,75.57
中彰投,2016,5,2.65,646.4,1092.05,584.88,72.07
中彰投,2016,6,3.65,741.8299999999999,1229.4299999999998,679.52,74.94
中彰投,2016,7,3.14,740.01,1199.74,657.3000000000001,74.06
中彰投,2016,8,5.65,764.53,1365.5400000000002,762.74,74.32
中彰投,2016,9,5.53,825.69,1605.85,887.6500000000001,79.77
中彰投,2016,10,5.57,732.38,1560.5,865.3499999999999,81.22
中彰投,2016,11,4.62,729.7199999999999,1558.76,872.9799999999999,81.47
中彰投,2016,12,4.28,699.31,1508.34,859.1099999999999,81.19
中彰投,2016,13,3.79,789.6199999999999,1500.14,886.15,82.34
中彰投,2016,14,3.73,826.0,1616.73,960.8499999999999,81.71
中彰投,2016,15,2.84,876.51,1674.5500000000002,995.2599999999999,84.31
中彰投,2016,16,2.29,922.7,1613.1,945.27,85.38000000000001
中彰投,2016,17,1.9,796.7800000000001,1470.0700000000002,846.8700000000001,83.14
中彰投,2016,18,1.73,817.9300000000001,1343.55,756.9200000000001,81.80000000000001
中彰投,2016,19,1.37,816.5,1273.53,693.3000000000001,82.07000000000001
中彰投,2016,20,1.2,878.41,1258.44,677.1800000000001,83.66999999999999
中彰投,2016,21,1.07,892.6800000000001,1278.2,694.7,85.05
中彰投,2016,22,1.0,809.31,1102.17,558.07,80.5
中彰投,2016,23,0.99,801.28,1028.48,511.44999999999993,77.22999999999999
中彰投,2016,24,0.75,670.74,865.97,408.82,70.54
中彰投,2016,25,0.83,628.45,747.81,314.85,67.31
中彰投,2016,26,0.83,635.41,748.88,325.18,69.83
中彰投,2016,27,0.71,635.39,781.6800000000001,340.91999999999996,71.00999999999999
中彰投,2016,28,0.75,641.65,769.17,339.2,71.44999999999999
中彰投,2016,29,0.71,617.95,769.1,349.03,69.5
中彰投,2016,30,0.72,642.03,805.44,387.98999999999995,70.84
中彰投,2016,31,0.8,684.4100000000001,835.2200000000001,413.73,70.92
中彰投,2016,32,0.68,748.82,933.5900000000001,478.58,75.87
中彰投,2016,33,0.8,791.05,930.9100000000001,475.42999999999995,76.82000000000001
中彰投,2016,34,0.86,841.7900000000001,1002.1700000000001,507.69,76.9
中彰投,2016,35,0.8,936.1,1147.28,600.9499999999999,78.89
中彰投,2016,36,0.85,892.32,1078.58,557.78,74.36
中彰投,2016,37,0.85,867.08,1084.72,556.15,73.92
中彰投,2016,38,0.87,858.67,1061.91,520.33,72.01
中彰投,2016,39,1.16,721.6300000000001,957.21,428.22,69.08000000000001
中彰投,2016,40,0.97,757.21,1136.91,540.36,75.32000000000001
中彰投,2016,41,0.97,772.22,1146.28,549.29,73.89
中彰投,2016,42,1.09,809.5300000000001,1389.6299999999999,720.56,81.12
中彰投,2016,43,1.21,803.47,1457.47,776.96,87.07
中彰投,2016,44,1.03,839.98,1451.4299999999998,743.99,83.92999999999999
中彰投,2016,45,1.25,899.8299999999999,1599.25,834.52,89.61000000000001
中彰投,2016,46,1.28,858.2099999999999,1583.3200000000002,815.72,87.98
中彰投,2016,47,1.21,834.51,1544.0400000000002,796.8199999999999,84.46
中彰投,2016,48,1.38,763.0,1504.2600000000002,774.25,83.53999999999999
中彰投,2016,49,1.39,723.5,1530.85,776.4300000000001,82.83
中彰投,2016,50,1.32,692.02,1394.12,679.86,78.32
中彰投,2016,51,1.41,721.27,1513.21,751.68,79.35
中彰投,2016,52,1.45,736.19,1616.47,812.4999999999999,80.4
中彰投,2017,1,1.36,724.0999999999999,1741.7199999999998,903.25,78.97
中彰投,2017,2,1.45,711.1,1726.5500000000002,916.9699999999999,79.13999999999999
中彰投,2017,3,1.38,704.54,1587.81,822.22,74.59
中彰投,2017,4,1.53,738.14,1536.66,808.6200000000001,74.71
中彰投,2017,5,1.32,771.98,1345.75,674.47,71.66999999999999
中彰投,2017,6,1.37,818.89,1425.68,708.8,71.03999999999999
中彰投,2017,7,1.53,872.55,1559.6,789.1500000000001,75.27
中彰投,2017,8,1.36,846.33,1584.2599999999998,810.3799999999999,74.03999999999999
中彰投,2017,9,1.3,881.98,1676.58,881.55,77.88
中彰投,2017,10,1.24,883.8199999999999,1636.2400000000002,893.56,78.7
中彰投,2017,11,1.22,879.44,1598.3500000000001,893.63,76.33
中彰投,2017,12,1.38,944.39,1598.92,894.24,78.41999999999999
中彰投,2017,13,1.47,989.6000000000001,1660.3700000000001,921.3600000000001,78.72999999999999
中彰投,2017,14,1.18,1069.75,1688.97,920.21,80.2
中彰投,2017,15,1.16,1026.74,1608.0500000000002,862.5699999999999,80.03999999999999
中彰投,2017,16,1.36,969.97,1517.3,816.3199999999999,78.72
中彰投,2017,17,1.2,959.74,1414.02,759.9899999999999,79.35
中彰投,2017,18,1.25,895.23,1351.97,720.5,79.68
中彰投,2017,19,1.35,927.32,1395.8899999999999,715.37,82.78
中彰投,2017,20,1.35,980.84,1345.5099999999998,676.84,83.41
中彰投,2017,21,1.45,926.58,1235.6899999999998,617.4599999999999,81.86
中彰投,2017,22,1.69,883.34,1071.6299999999999,514.87,77.65
中彰投,2017,23,2.0,832.26,922.08,452.12,74.17
中彰投,2017,24,2.4,704.63,837.47,386.31999999999994,69.89
中彰投,2017,25,3.47,590.24,739.81,324.58,64.59
中彰投,2017,26,4.0,550.8,742.91,318.19,65.28
中彰投,2017,27,3.46,539.13,684.16,278.32,62.470000000000006
中彰投,2017,28,3.32,585.51,723.67,309.46,66.62
中彰投,2017,29,3.2,687.87,805.88,361.73,71.44
中彰投,2017,30,2.6,741.41,864.33,419.28000000000003,76.05
中彰投,2017,31,2.14,749.81,892.48,437.62,75.88
中彰投,2017,32,1.95,710.1800000000001,900.7700000000001,443.01,72.28
中彰投,2017,33,1.44,646.5699999999999,844.4199999999998,421.67,72.44999999999999
中彰投,2017,34,1.24,627.9,834.95,403.52,69.98
中彰投,2017,35,1.04,668.4799999999999,950.1999999999999,481.49000000000007,74.62
中彰投,2017,36,1.08,720.6400000000001,979.8799999999999,509.59,78.37
中彰投,2017,37,0.94,789.7,1075.6999999999998,552.24,79.71000000000001
中彰投,2017,38,1.03,908.85,1226.95,655.46,87.34
中彰投,2017,39,1.03,906.69,1212.97,649.2700000000001,88.57000000000001
中彰投,2017,40,0.99,967.01,1355.82,723.8400000000001,90.60000000000001
中彰投,2017,41,0.99,962.0,1432.84,755.8299999999999,92.15
