region,year,week,case_per_capita(‰),O3_sum,PM10_sum,PM25_sum,SO2_sum
中彰投,2016,1,2.54,131.39,365.03,198.22,19.85
中彰投,2016,2,9.84,175.08,298.23,162.66,18.4
中彰投,2016,3,9.9,148.15,307.85,179.76,19.07
中彰投,2016,4,10.19,165.63,276.77,136.08,18.25
中彰投,2016,5,11.81,157.54,209.2,106.38,16.35
中彰投,2016,6,15.53,270.51,435.61,257.3,21.27
中彰投,2016,7,8.74,146.33,278.16,157.54,18.19
中彰投,2016,8,17.69,190.15,442.57,241.52,18.51
中彰投,2016,9,16.75,218.7,449.51,231.29,21.8
中彰投,2016,10,15.48,177.2,390.26,235.0,22.72
中彰投,2016,11,13.68,143.67,276.42,165.17,18.44
中彰投,2016,12,12.62,159.74,392.15,227.65,18.23
中彰投,2016,13,11.9,309.01,441.31,258.33,22.95
中彰投,2016,14,13.45,213.58,506.85,309.7,22.09
中彰投,2016,15,10.94,194.18,334.24,199.58,21.04
中彰投,2016,16,10.85,205.93,330.7,177.66,19.3
中彰投,2016,17,9.77,183.09,298.28,159.93,20.71
中彰投,2016,18,9.85,234.73,380.33,219.75,20.75
中彰投,2016,19,9.17,192.75,264.22,135.96,21.31
中彰投,2016,20,8.66,267.84,315.61,161.54,20.9
中彰投,2016,21,8.51,197.36,318.04,177.45,22.09
中彰投,2016,22,7.67,151.36,204.3,83.12,16.2
中彰投,2016,23,6.93,184.72,190.53,89.34,18.04
中彰投,2016,24,6.86,137.3,153.1,58.91,14.21
中彰投,2016,25,6.68,155.07,199.88,83.48,18.86
中彰投,2016,26,6.3,158.32,205.37,93.45,18.72
中彰投,2016,27,5.96,184.7,223.33,105.08,19.22
中彰投,2016,28,5.78,143.56,140.59,57.19,14.65
中彰投,2016,29,5.99,131.37,199.81,93.31,16.91
中彰投,2016,30,5.72,182.4,241.71,132.41,20.06
中彰投,2016,31,6.11,227.08,253.11,130.82,19.3
中彰投,2016,32,6.15,207.97,238.96,122.04,19.6
中彰投,2016,33,6.18,173.6,197.13,90.16,17.86
中彰投,2016,34,6.52,233.14,312.97,164.67,20.14
中彰投,2016,35,6.73,321.39,398.22,224.08,21.29
中彰投,2016,36,7.09,164.19,170.26,78.87,15.07
中彰投,2016,37,6.81,148.36,203.27,88.53,17.42
中彰投,2016,38,6.45,224.73,290.16,128.85,18.23
中彰投,2016,39,7.55,184.35,293.52,131.97,18.36
中彰投,2016,40,6.54,199.77,349.96,191.01,21.31
中彰投,2016,41,6.76,163.37,212.64,97.46,15.99
中彰投,2016,42,7.32,262.04,533.51,300.12,25.46
中彰投,2016,43,7.43,178.29,361.36,188.37,24.31
中彰投,2016,44,7.6,236.28,343.92,158.04,18.17
中彰投,2016,45,8.41,223.22,360.46,187.99,21.67
中彰投,2016,46,8.56,220.42,517.58,281.32,23.83
中彰投,2016,47,8.41,154.59,322.08,169.47,20.79
中彰投,2016,48,8.59,164.77,304.14,135.47,17.25
中彰投,2016,49,8.61,183.72,387.05,190.17,20.96
中彰投,2016,50,9.32,188.94,380.85,184.75,19.32
中彰投,2016,51,9.47,183.84,441.17,241.29,21.82
中彰投,2016,52,9.43,179.69,407.4,196.29,18.3
中彰投,2017,1,9.42,171.63,512.3,280.92,19.53
中彰投,2017,2,9.63,175.94,365.68,198.47,19.49
中彰投,2017,3,9.65,177.28,302.43,146.54,17.27
中彰投,2017,4,10.72,213.29,356.25,182.69,18.42
中彰投,2017,5,8.4,205.47,321.39,146.77,16.49
中彰投,2017,6,10.54,222.85,445.61,232.8,18.86
中彰投,2017,7,10.44,230.94,436.35,226.89,21.5
中彰投,2017,8,9.3,187.07,380.91,203.92,17.19
中彰投,2017,9,9.34,241.12,413.71,217.94,20.33
中彰投,2017,10,9.63,224.69,405.27,244.81,19.68
中彰投,2017,11,9.4,226.56,398.46,226.96,19.13
中彰投,2017,12,9.35,252.02,381.48,204.53,19.28
中彰投,2017,13,9.77,286.33,475.16,245.06,20.64
中彰投,2017,14,10.24,304.84,433.87,243.66,21.15
中彰投,2017,15,9.31,183.55,317.54,169.32,18.97
中彰投,2017,16,8.17,195.25,290.73,158.28,17.96
中彰投,2017,17,9.11,276.1,371.88,188.73,21.27
中彰投,2017,18,8.59,240.33,371.82,204.17,21.48
中彰投,2017,19,8.0,215.64,361.46,164.19,22.07
中彰投,2017,20,8.04,248.77,240.35,119.75,18.59
中彰投,2017,21,7.83,221.84,262.06,129.35,19.72
中彰投,2017,22,6.97,197.09,207.76,101.58,17.27
中彰投,2017,23,7.52,164.56,211.91,101.44,18.59
中彰投,2017,24,7.19,121.14,155.74,53.95,14.31
中彰投,2017,25,8.13,107.45,164.4,67.61,14.42
中彰投,2017,26,8.08,157.65,210.86,95.19,17.96
中彰投,2017,27,8.17,152.89,153.16,61.57,15.78
中彰投,2017,28,7.86,167.52,195.25,85.09,18.46
中彰投,2017,29,7.71,209.81,246.61,119.88,19.24
中彰投,2017,30,6.98,211.19,269.31,152.74,22.57
中彰投,2017,31,6.75,161.29,181.31,79.91,15.61
中彰投,2017,32,6.07,127.89,203.54,90.48,14.86
中彰投,2017,33,5.96,146.2,190.26,98.54,19.41
中彰投,2017,34,6.05,192.52,259.84,134.59,20.1
中彰投,2017,35,6.02,201.87,296.56,157.88,20.25
中彰投,2017,36,6.31,180.05,233.22,118.58,18.61
中彰投,2017,37,6.55,215.26,286.08,141.19,20.75
中彰投,2017,38,6.48,311.67,411.09,237.81,27.73
中彰投,2017,39,6.23,199.71,282.58,151.69,21.48
中彰投,2017,40,6.63,240.37,376.07,193.15,20.64
中彰投,2017,41,6.58,210.25,363.1,173.18,22.3
中彰投,2017,42,6.77,199.33,214.49,86.24,14.57
中彰投,2017,43,7.85,326.44,354.9,174.01,15.51
中彰投,2017,44,8.02,256.9,330.63,135.89,15.76
中彰投,2017,45,7.98,208.45,389.15,179.59,17.5
中彰投,2017,46,8.05,164.29,340.78,161.84,19.39
中彰投,2017,47,8.33,169.95,250.32,111.14,16.03
中彰投,2017,48,8.0,193.99,342.41,163.05,17.06
中彰投,2017,49,8.37,183.01,302.53,154.5,15.84
中彰投,2017,50,9.4,164.58,324.75,158.57,17.63
中彰投,2017,51,10.35,203.08,333.21,168.9,17.75
中彰投,2017,52,11.22,203.99,502.76,279.41,21.4
中彰投,2018,1,9.62,140.82,367.1,193.23,18.19
中彰投,2018,2,9.81,183.53,235.32,116.99,15.93
中彰投,2018,3,10.78,164.19,403.07,217.36,18.97
中彰投,2018,4,10.95,181.75,292.95,132.66,16.37
中彰投,2018,5,10.47,172.09,196.82,121.31,15.03
中彰投,2018,6,10.92,164.19,296.54,165.25,16.18
中彰投,2018,7,10.14,229.91,503.92,226.26,18.67
中彰投,2018,8,11.22,180.51,355.43,199.65,17.25
中彰投,2018,9,11.66,181.29,486.73,260.07,19.16
中彰投,2018,10,10.17,211.34,292.37,137.67,15.87
中彰投,2018,11,10.33,237.56,430.29,232.15,20.62
中彰投,2018,12,10.76,274.89,383.18,182.86,16.33
中彰投,2018,13,10.16,277.49,476.63,252.21,18.36
中彰投,2018,14,8.92,240.68,469.29,204.63,17.98
中彰投,2018,15,9.81,218.01,310.16,144.4,18.69
中彰投,2018,16,8.86,284.44,438.53,224.08,22.43
中彰投,2018,17,7.9,265.92,401.66,217.84,20.9
中彰投,2018,18,7.67,237.69,350.78,175.25,20.31
中彰投,2018,19,7.28,221.53,296.39,134.15,18.93
中彰投,2018,20,6.4,142.14,215.99,104.69,18.46
中彰投,2018,21,6.18,201.99,274.55,142.51,22.36
中彰投,2018,22,5.84,244.69,261.33,124.74,19.64
中彰投,2018,23,5.7,228.67,265.69,125.43,22.17
中彰投,2018,24,5.6,291.46,263.84,126.08,20.62
中彰投,2018,25,5.23,117.01,153.62,54.91,15.01
中彰投,2018,26,5.42,145.64,202.31,87.0,18.76
中彰投,2018,27,5.47,120.26,151.0,59.37,15.15
中彰投,2018,28,5.9,182.4,252.5,124.49,21.54
