region,year,week,case_per_capita(‰),O3_sum,PM10_sum,PM25_sum,SO2_sum
中彰投,2016,1,2.96,131.39,365.03,198.22,19.85
中彰投,2016,2,9.41,175.08,298.23,162.66,18.4
中彰投,2016,3,9.69,148.15,307.85,179.76,19.07
中彰投,2016,4,9.94,165.63,276.77,136.08,18.25
中彰投,2016,5,11.21,157.54,209.2,106.38,16.35
中彰投,2016,6,14.44,270.51,435.61,257.3,21.27
中彰投,2016,7,7.9,146.33,278.16,157.54,18.19
中彰投,2016,8,15.06,190.15,442.57,241.52,18.51
中彰投,2016,9,13.77,218.7,449.51,231.29,21.8
中彰投,2016,10,13.05,177.2,390.26,235.0,22.72
中彰投,2016,11,11.06,143.67,276.42,165.17,18.44
中彰投,2016,12,10.72,159.74,392.15,227.65,18.23
中彰投,2016,13,10.37,309.01,441.31,258.33,22.95
中彰投,2016,14,12.05,213.58,506.85,309.7,22.09
中彰投,2016,15,9.5,194.18,334.24,199.58,21.04
中彰投,2016,16,9.14,205.93,330.7,177.66,19.3
中彰投,2016,17,8.8,183.09,298.28,159.93,20.71
中彰投,2016,18,8.45,234.73,380.33,219.75,20.75
中彰投,2016,19,8.02,192.75,264.22,135.96,21.31
中彰投,2016,20,7.72,267.84,315.61,161.54,20.9
中彰投,2016,21,7.69,197.36,318.04,177.45,22.09
中彰投,2016,22,7.14,151.36,204.3,83.12,16.2
中彰投,2016,23,6.47,184.72,190.53,89.34,18.04
中彰投,2016,24,6.01,137.3,153.1,58.91,14.21
中彰投,2016,25,6.3,155.07,199.88,83.48,18.86
中彰投,2016,26,5.84,158.32,205.37,93.45,18.72
中彰投,2016,27,5.7,184.7,223.33,105.08,19.22
中彰投,2016,28,5.42,143.56,140.59,57.19,14.65
中彰投,2016,29,5.92,131.37,199.81,93.31,16.91
中彰投,2016,30,5.57,182.4,241.71,132.41,20.06
中彰投,2016,31,5.82,227.08,253.11,130.82,19.3
中彰投,2016,32,5.9,207.97,238.96,122.04,19.6
中彰投,2016,33,6.04,173.6,197.13,90.16,17.86
中彰投,2016,34,6.49,233.14,312.97,164.67,20.14
中彰投,2016,35,6.66,321.39,398.22,224.08,21.29
中彰投,2016,36,6.89,164.19,170.26,78.87,15.07
中彰投,2016,37,6.44,148.36,203.27,88.53,17.42
中彰投,2016,38,6.11,224.73,290.16,128.85,18.23
中彰投,2016,39,7.47,184.35,293.52,131.97,18.36
中彰投,2016,40,6.23,199.77,349.96,191.01,21.31
中彰投,2016,41,6.31,163.37,212.64,97.46,15.99
中彰投,2016,42,7.02,262.04,533.51,300.12,25.46
中彰投,2016,43,7.09,178.29,361.36,188.37,24.31
中彰投,2016,44,7.39,236.28,343.92,158.04,18.17
中彰投,2016,45,8.29,223.22,360.46,187.99,21.67
中彰投,2016,46,8.25,220.42,517.58,281.32,23.83
中彰投,2016,47,7.97,154.59,322.08,169.47,20.79
中彰投,2016,48,7.62,164.77,304.14,135.47,17.25
中彰投,2016,49,8.13,183.72,387.05,190.17,20.96
中彰投,2016,50,8.48,188.94,380.85,184.75,19.32
中彰投,2016,51,9.0,183.84,441.17,241.29,21.82
中彰投,2016,52,9.16,179.69,407.4,196.29,18.3
中彰投,2017,1,9.29,171.63,512.3,280.92,19.53
中彰投,2017,2,9.44,175.94,365.68,198.47,19.49
中彰投,2017,3,9.4,177.28,302.43,146.54,17.27
中彰投,2017,4,10.72,213.29,356.25,182.69,18.42
中彰投,2017,5,8.22,205.47,321.39,146.77,16.49
中彰投,2017,6,10.56,222.85,445.61,232.8,18.86
中彰投,2017,7,10.71,230.94,436.35,226.89,21.5
中彰投,2017,8,8.59,187.07,380.91,203.92,17.19
中彰投,2017,9,9.16,241.12,413.71,217.94,20.33
中彰投,2017,10,9.4,224.69,405.27,244.81,19.68
中彰投,2017,11,9.24,226.56,398.46,226.96,19.13
中彰投,2017,12,9.09,252.02,381.48,204.53,19.28
中彰投,2017,13,9.44,286.33,475.16,245.06,20.64
中彰投,2017,14,10.38,304.84,433.87,243.66,21.15
中彰投,2017,15,8.8,183.55,317.54,169.32,18.97
中彰投,2017,16,7.79,195.25,290.73,158.28,17.96
中彰投,2017,17,8.26,276.1,371.88,188.73,21.27
中彰投,2017,18,8.03,240.33,371.82,204.17,21.48
中彰投,2017,19,7.43,215.64,361.46,164.19,22.07
中彰投,2017,20,7.49,248.77,240.35,119.75,18.59
中彰投,2017,21,7.36,221.84,262.06,129.35,19.72
中彰投,2017,22,6.51,197.09,207.76,101.58,17.27
中彰投,2017,23,6.68,164.56,211.91,101.44,18.59
中彰投,2017,24,6.68,121.14,155.74,53.95,14.31
中彰投,2017,25,6.92,107.45,164.4,67.61,14.42
中彰投,2017,26,6.73,157.65,210.86,95.19,17.96
中彰投,2017,27,7.23,152.89,153.16,61.57,15.78
中彰投,2017,28,7.15,167.52,195.25,85.09,18.46
中彰投,2017,29,6.95,209.81,246.61,119.88,19.24
中彰投,2017,30,6.61,211.19,269.31,152.74,22.57
中彰投,2017,31,6.03,161.29,181.31,79.91,15.61
中彰投,2017,32,5.68,127.89,203.54,90.48,14.86
中彰投,2017,33,5.84,146.2,190.26,98.54,19.41
中彰投,2017,34,5.84,192.52,259.84,134.59,20.1
中彰投,2017,35,6.22,201.87,296.56,157.88,20.25
中彰投,2017,36,6.16,180.05,233.22,118.58,18.61
中彰投,2017,37,6.47,215.26,286.08,141.19,20.75
中彰投,2017,38,6.74,311.67,411.09,237.81,27.73
中彰投,2017,39,6.26,199.71,282.58,151.69,21.48
中彰投,2017,40,6.53,240.37,376.07,193.15,20.64
中彰投,2017,41,6.8,210.25,363.1,173.18,22.3
中彰投,2017,42,6.82,199.33,214.49,86.24,14.57
中彰投,2017,43,8.14,326.44,354.9,174.01,15.51
中彰投,2017,44,8.09,256.9,330.63,135.89,15.76
中彰投,2017,45,8.09,208.45,389.15,179.59,17.5
中彰投,2017,46,8.08,164.29,340.78,161.84,19.39
中彰投,2017,47,8.2,169.95,250.32,111.14,16.03
中彰投,2017,48,8.11,193.99,342.41,163.05,17.06
中彰投,2017,49,8.86,183.01,302.53,154.5,15.84
中彰投,2017,50,9.59,164.58,324.75,158.57,17.63
中彰投,2017,51,10.43,203.08,333.21,168.9,17.75
中彰投,2017,52,11.73,203.99,502.76,279.41,21.4
中彰投,2018,1,8.71,140.82,367.1,193.23,18.19
中彰投,2018,2,9.43,183.53,235.32,116.99,15.93
中彰投,2018,3,10.08,164.19,403.07,217.36,18.97
中彰投,2018,4,10.02,181.75,292.95,132.66,16.37
中彰投,2018,5,9.32,172.09,196.82,121.31,15.03
中彰投,2018,6,10.02,164.19,296.54,165.25,16.18
中彰投,2018,7,9.26,229.91,503.92,226.26,18.67
中彰投,2018,8,9.87,180.51,355.43,199.65,17.25
中彰投,2018,9,10.21,181.29,486.73,260.07,19.16
中彰投,2018,10,9.18,211.34,292.37,137.67,15.87
中彰投,2018,11,9.93,237.56,430.29,232.15,20.62
中彰投,2018,12,10.03,274.89,383.18,182.86,16.33
中彰投,2018,13,9.95,277.49,476.63,252.21,18.36
中彰投,2018,14,8.13,240.68,469.29,204.63,17.98
中彰投,2018,15,9.51,218.01,310.16,144.4,18.69
中彰投,2018,16,7.99,284.44,438.53,224.08,22.43
中彰投,2018,17,7.38,265.92,401.66,217.84,20.9
中彰投,2018,18,7.25,237.69,350.78,175.25,20.31
中彰投,2018,19,6.98,221.53,296.39,134.15,18.93
中彰投,2018,20,6.15,142.14,215.99,104.69,18.46
中彰投,2018,21,6.06,201.99,274.55,142.51,22.36
中彰投,2018,22,5.73,244.69,261.33,124.74,19.64
中彰投,2018,23,5.35,228.67,265.69,125.43,22.17
中彰投,2018,24,5.75,291.46,263.84,126.08,20.62
中彰投,2018,25,5.09,117.01,153.62,54.91,15.01
中彰投,2018,26,5.42,145.64,202.31,87.0,18.76
中彰投,2018,27,5.21,120.26,151.0,59.37,15.15
中彰投,2018,28,5.67,182.4,252.5,124.49,21.54
中彰投,2018,29,5.94,237.46,299.49,167.73,20.33
中彰投,2018,30,5.9,160.69,205.03,101.88,18.3
中彰投,2018,31,5.71,168.5,196.06,90.04,16.33
中彰投,2018,32,5.86,238.73,261.75,158.42,20.62
中彰投,2018,33,6.02,178.65,157.37,72.14,15.47
中彰投,2018,34,5.97,208.64,134.51,63.84,15.8
中彰投,2018,35,6.34,119.59,166.11,71.19,15.11
中彰投,2018,36,6.34,195.33,216.87,105.13,16.05
中彰投,2018,37,6.5,200.99,297.56,145.03,20.94
中彰投,2018,38,6.51,199.98,302.99,169.24,18.97
中彰投,2018,39,6.45,294.36,276.86,106.47,15.89
中彰投,2018,40,7.21,359.47,362.51,168.17,17.77
中彰投,2018,41,6.75,236.93,262.86,130.86,17.44
中彰投,2018,42,6.27,246.66,267.82,128.07,17.9
中彰投,2018,43,6.86,277.15,388.35,176.09,19.74
中彰投,2018,44,7.74,223.9,278.6,118.6,16.62
中彰投,2018,45,6.7,214.82,481.05,257.32,21.4
中彰投,2018,46,6.74,203.48,355.89,171.27,20.22
中彰投,2018,47,6.91,197.47,307.9,141.17,17.44
中彰投,2018,48,7.66,185.44,350.31,172.78,19.39
中彰投,2018,49,8.54,167.58,277.86,118.18,16.22
中彰投,2018,50,8.98,155.82,249.02,111.41,16.14
中彰投,2018,51,9.35,218.93,455.15,209.37,20.04
中彰投,2018,52,9.22,186.17,199.23,75.97,14.44
中彰投,2019,1,7.18,137.02,281.99,135.07,16.12
中彰投,2019,2,9.24,149.47,334.43,147.06,16.1
中彰投,2019,3,8.97,192.92,371.4,180.43,15.84
中彰投,2019,4,9.8,225.4,400.97,180.34,17.46
中彰投,2019,5,12.83,206.77,426.2,208.78,16.75
中彰投,2019,6,5.49,195.66,325.37,155.84,14.94
中彰投,2019,7,10.81,182.54,299.57,145.6,16.28
中彰投,2019,8,9.29,177.18,333.09,171.96,15.59
中彰投,2019,9,8.79,218.99,418.07,221.38,16.7
中彰投,2019,10,8.65,190.63,213.08,119.57,14.96
中彰投,2019,11,9.43,257.68,423.31,232.61,18.38
中彰投,2019,12,9.06,179.11,337.55,181.56,16.85
中彰投,2019,13,9.05,245.46,312.25,160.85,15.61
中彰投,2019,14,8.36,254.75,374.4,217.67,15.93
中彰投,2019,15,8.26,216.04,273.52,144.9,15.95
中彰投,2019,16,8.0,217.21,249.19,134.66,15.87
中彰投,2019,17,7.63,209.54,265.35,140.9,16.68
中彰投,2019,18,7.31,213.16,240.1,113.47,13.85
中彰投,2019,19,7.48,209.2,267.32,139.12,17.27
中彰投,2019,20,7.25,124.6,184.85,88.32,14.17
中彰投,2019,21,7.01,239.36,335.9,173.28,18.19
中彰投,2019,22,6.83,166.68,180.81,80.37,16.7
中彰投,2019,23,6.47,115.65,137.76,62.69,14.75
中彰投,2019,24,6.92,212.54,137.95,79.05,15.03
中彰投,2019,25,6.39,123.19,143.48,59.6,14.59
中彰投,2019,26,6.0,158.13,129.67,57.05,14.21
中彰投,2019,27,5.62,130.25,137.67,51.03,14.15
中彰投,2019,28,5.89,133.63,135.33,75.89,14.0
中彰投,2019,29,5.85,177.7,184.33,99.91,14.5
中彰投,2019,30,5.79,151.61,138.68,64.63,15.22
中彰投,2019,31,5.59,205.39,204.82,112.02,17.86
中彰投,2019,32,5.59,185.73,206.12,94.6,15.26
中彰投,2019,33,5.78,195.66,99.22,53.32,13.37
中彰投,2019,34,6.12,179.69,187.49,108.65,16.54
中彰投,2019,35,6.19,203.75,219.1,133.23,18.78
中彰投,2019,36,6.27,195.6,179.63,108.67,17.25
中彰投,2019,37,6.13,254.37,263.55,164.6,17.44
中彰投,2019,38,7.4,352.14,257.62,108.88,15.28
中彰投,2019,39,7.0,214.95,242.97,120.43,16.26
中彰投,2019,40,6.3,262.88,360.77,245.13,18.25
中彰投,2019,41,6.58,282.05,341.99,188.1,17.98
中彰投,2019,42,7.97,299.64,260.7,109.9,15.34
中彰投,2019,43,7.9,263.42,288.45,149.18,17.63
中彰投,2019,44,7.44,257.91,357.08,157.75,15.43
中彰投,2019,45,7.62,279.22,283.25,126.48,15.47
中彰投,2019,46,8.6,274.43,406.9,220.88,17.04
中彰投,2019,47,8.71,191.01,222.68,102.57,15.34
中彰投,2019,48,8.26,215.68,256.19,111.04,15.45
中彰投,2019,49,8.69,207.72,170.28,80.96,13.5
中彰投,2019,50,9.61,186.97,319.34,172.9,16.49
中彰投,2019,51,9.83,134.43,221.78,116.13,15.55
中彰投,2019,52,9.46,155.15,223.06,110.62,15.49
北北基桃竹苗,2016,1,2.53,140.31,332.04,174.13,21.16
北北基桃竹苗,2016,2,9.54,201.74,272.55,142.5,18.4
北北基桃竹苗,2016,3,9.42,184.2,285.22,153.72,16.9
北北基桃竹苗,2016,4,9.53,177.5,246.91,111.75,19.47
北北基桃竹苗,2016,5,11.11,189.69,165.17,65.92,14.66
北北基桃竹苗,2016,6,14.3,263.59,399.46,217.99,20.79
北北基桃竹苗,2016,7,7.4,171.78,232.96,119.06,15.36
北北基桃竹苗,2016,8,14.25,235.55,363.63,150.25,14.31
北北基桃竹苗,2016,9,12.68,243.62,309.12,145.35,16.83
北北基桃竹苗,2016,10,12.12,164.37,322.43,180.5,21.81
北北基桃竹苗,2016,11,11.02,185.53,247.9,130.77,16.3
北北基桃竹苗,2016,12,10.32,216.82,320.83,167.99,16.89
北北基桃竹苗,2016,13,9.7,285.31,430.74,232.69,22.72
北北基桃竹苗,2016,14,11.06,191.38,457.48,277.47,24.81
北北基桃竹苗,2016,15,8.97,180.85,286.73,164.4,20.39
北北基桃竹苗,2016,16,8.87,223.39,302.26,151.43,19.98
北北基桃竹苗,2016,17,8.28,199.38,329.19,182.49,22.39
北北基桃竹苗,2016,18,8.04,278.09,419.81,238.72,23.59
北北基桃竹苗,2016,19,7.85,202.25,277.64,140.9,23.23
北北基桃竹苗,2016,20,7.46,252.25,251.3,119.7,17.77
北北基桃竹苗,2016,21,7.43,170.63,270.82,149.23,25.59
北北基桃竹苗,2016,22,6.82,158.7,230.18,97.96,20.43
北北基桃竹苗,2016,23,6.26,182.0,221.92,99.88,19.95
北北基桃竹苗,2016,24,6.02,135.5,167.61,60.04,15.68
北北基桃竹苗,2016,25,6.23,159.52,201.86,84.81,22.41
北北基桃竹苗,2016,26,6.03,169.85,204.65,91.6,23.05
北北基桃竹苗,2016,27,5.6,147.6,190.56,75.44,18.58
北北基桃竹苗,2016,28,5.42,153.96,181.3,67.7,17.28
北北基桃竹苗,2016,29,5.66,145.46,224.88,96.41,18.43
北北基桃竹苗,2016,30,5.58,209.75,255.78,134.9,26.01
北北基桃竹苗,2016,31,5.64,198.18,220.69,99.23,20.67
北北基桃竹苗,2016,32,5.76,161.27,189.72,80.31,20.96
北北基桃竹苗,2016,33,5.95,175.7,182.31,72.41,18.67
北北基桃竹苗,2016,34,6.15,188.85,259.25,117.41,22.26
北北基桃竹苗,2016,35,6.13,324.32,331.47,166.44,22.41
北北基桃竹苗,2016,36,6.4,162.82,195.7,85.74,19.32
北北基桃竹苗,2016,37,6.03,143.08,183.3,68.73,16.95
北北基桃竹苗,2016,38,5.56,214.2,235.47,85.54,15.38
北北基桃竹苗,2016,39,6.86,178.87,221.26,91.13,16.03
北北基桃竹苗,2016,40,5.57,152.59,226.5,96.18,17.89
北北基桃竹苗,2016,41,6.15,196.07,165.82,59.92,14.76
北北基桃竹苗,2016,42,6.15,172.17,243.41,109.59,17.69
北北基桃竹苗,2016,43,6.45,195.78,311.98,152.37,25.11
北北基桃竹苗,2016,44,6.84,249.04,253.97,96.4,18.22
北北基桃竹苗,2016,45,8.04,212.2,260.93,118.34,19.76
北北基桃竹苗,2016,46,8.36,223.78,341.7,159.61,22.76
北北基桃竹苗,2016,47,8.46,166.49,217.1,94.02,21.66
北北基桃竹苗,2016,48,8.19,206.08,266.6,99.54,15.21
北北基桃竹苗,2016,49,8.49,221.5,300.27,123.22,19.49
北北基桃竹苗,2016,50,8.37,224.42,283.93,118.61,17.02
北北基桃竹苗,2016,51,9.04,189.93,293.49,140.54,19.7
北北基桃竹苗,2016,52,9.22,220.8,292.32,130.8,15.6
北北基桃竹苗,2017,1,9.1,172.77,328.85,163.38,19.89
北北基桃竹苗,2017,2,8.92,218.27,280.6,145.12,19.35
北北基桃竹苗,2017,3,9.46,204.63,228.05,92.17,15.36
北北基桃竹苗,2017,4,10.59,256.25,268.38,118.49,15.81
北北基桃竹苗,2017,5,8.56,209.51,253.68,120.66,15.03
北北基桃竹苗,2017,6,10.78,258.49,351.24,176.72,16.56
北北基桃竹苗,2017,7,10.26,255.86,310.15,151.38,17.54
北北基桃竹苗,2017,8,8.71,209.22,249.91,126.82,15.0
北北基桃竹苗,2017,9,8.75,252.79,346.4,169.44,19.4
北北基桃竹苗,2017,10,9.17,266.81,315.57,167.49,18.4
北北基桃竹苗,2017,11,9.04,248.8,276.66,128.14,16.18
北北基桃竹苗,2017,12,8.97,259.58,237.18,110.53,18.32
北北基桃竹苗,2017,13,9.66,307.57,464.27,227.14,21.31
北北基桃竹苗,2017,14,9.69,298.37,370.46,205.3,21.75
北北基桃竹苗,2017,15,8.92,217.84,299.89,148.62,21.07
北北基桃竹苗,2017,16,7.69,193.4,305.47,158.43,18.76
北北基桃竹苗,2017,17,8.6,287.36,297.98,131.77,19.06
北北基桃竹苗,2017,18,8.5,237.57,318.75,175.51,24.2
北北基桃竹苗,2017,19,7.93,215.06,333.62,139.04,22.24
北北基桃竹苗,2017,20,7.67,271.74,202.96,94.99,18.47
北北基桃竹苗,2017,21,7.56,227.51,210.19,91.25,20.37
北北基桃竹苗,2017,22,6.65,202.33,172.02,79.69,16.12
北北基桃竹苗,2017,23,6.88,178.26,246.48,128.12,22.05
北北基桃竹苗,2017,24,6.6,163.36,147.76,59.02,16.02
北北基桃竹苗,2017,25,7.16,122.59,171.14,72.08,19.22
北北基桃竹苗,2017,26,7.1,166.71,209.43,95.56,21.96
北北基桃竹苗,2017,27,6.94,136.1,167.49,64.33,18.89
