pollutant,importance_mean,importance_std
NO2,0.35605664462211534,0.05060325040544787
O3,0.35213777127945184,0.059473263335655564
PM25,0.2386159703542453,0.034946157534545254
SO2,0.2250577200931095,0.037474767702716225
